INDEX	Population for C-CURVE	Population for Z-CURVE
000		14		14
001		5		5
002		9		5
003		6		12
004		6		9
005		6		6
006		2		6
007		5		6
008		8		7
009		10		7
010		10		8
011		8		8
012		6		9
013		15		8
014		2		13
015		7		5
016		5		6
017		12		6
018		6		12
019		6		11
020		12		2
021		11		5
022		16		16
023		9		9
024		7		10
025		4		6
026		4		6
027		11		5
028		6		2
029		11		4
030		1		6
031		7		8
032		7		7
033		7		5
034		9		7
035		8		8
036		10		7
037		6		4
038		2		7
039		4		7
040		8		5
041		7		10
042		9		4
043		6		10
044		8		6
045		8		9
046		5		12
047		6		10
048		8		8
049		8		5
050		13		10
051		5		10
052		6		10
053		5		5
054		6		8
055		8		6
056		10		9
057		6		8
058		10		9
059		8		6
060		8		7
061		6		9
062		7		6
063		9		13
064		7		8
065		5		10
066		7		7
067		4		4
068		8		10
069		5		8
070		10		4
071		5		11
072		8		8
073		5		7
074		9		10
075		10		6
076		10		9
077		9		6
078		10		10
079		10		8
080		7		6
081		8		15
082		7		6
083		7		11
084		10		2
085		10		7
086		8		1
087		6		7
088		10		8
089		15		8
090		5		8
091		5		6
092		5		5
093		13		6
094		8		7
095		6		9
096		5		8
097		10		5
098		6		10
099		9		15
100		9		9
101		8		10
102		7		5
103		9		5
104		8		8
105		10		10
106		5		11
107		6		12
108		4		5
109		14		6
110		10		6
111		10		10
112		4		10
113		10		9
114		12		5
115		10		13
116		9		10
117		6		10
118		6		8
119		13		6
120		11		4
121		12		14
122		6		8
123		10		8
124		8		10
125		8		10
126		6		6
127		5		5
128		8		8
129		5		5
130		10		7
131		15		16
132		10		10
133		10		15
134		8		7
135		12		10
136		7		8
137		8		5
138		7		5
139		3		9
140		7		9
141		11		7
142		5		10
143		9		4
144		7		10
145		16		10
146		7		7
147		10		6
148		7		8
149		6		12
150		9		9
151		8		8
152		6		9
153		11		7
154		12		7
155		7		11
156		7		5
157		7		8
158		4		9
159		7		11
160		8		5
161		5		9
162		9		6
163		7		7
164		9		8
165		7		8
166		5		7
167		8		6
168		5		5
169		5		9
170		6		8
171		9		7
172		7		6
173		6		11
174		3		7
175		6		7
176		5		9
177		9		13
178		10		7
179		4		4
180		7		8
181		11		7
182		9		10
183		11		10
184		9		4
185		7		9
186		4		6
187		8		8
188		11		7
189		14		7
190		8		7
191		12		9
192		5		7
193		9		8
194		8		6
195		8		11
196		9		7
197		13		3
198		8		12
199		7		7
200		8		5
201		6		5
202		7		9
203		7		7
204		5		6
205		8		9
206		10		4
207		12		8
208		6		7
209		7		11
210		7		7
211		6		7
212		7		5
213		4		9
214		10		4
215		10		7
216		7		7
217		11		6
218		9		11
219		3		14
220		11		3
221		3		6
222		5		8
223		7		12
224		5		8
225		9		6
226		6		7
227		11		11
228		4		7
229		9		7
230		7		9
231		7		3
232		11		11
233		7		7
234		7		10
235		15		6
236		8		7
237		8		15
238		9		5
239		11		5
240		8		5
241		7		8
242		7		11
243		7		3
244		6		10
245		8		12
246		7		5
247		9		7
248		10		8
249		6		8
250		5		6
251		5		8
252		6		9
253		8		11
254		4		4
255		12		12
