2000 2 C-Index Z-Index
-124.857175 -68.300988 X
25.715451 48.680915 Y
-91.455191 28.923222 10010010 10000110
-85.139631 27.054944 10110000 10001010
-92.1864 46.517825 10011110 11010110
-123.060724 26.730847 00000000 00000000
-79.42633 33.229893 11000101 10110001
-90.873859 47.532057 10011111 11010111
-103.436315 26.142718 01100000 00101000
-124.168138 25.798455 00000000 00000000
-76.02414 46.81546 11011110 11110110
-98.608607 32.130989 01110100 00111010
-82.47967 45.683109 10111101 11011011
-85.711257 27.774406 10110001 10001011
-83.774911 46.949192 10111110 11011110
-101.405121 38.140735 01101000 01101000
-68.976946 35.362833 11110110 10111110
-112.125521 34.389821 00110110 00011110
-107.074819 38.183733 01011000 01100010
-110.48144 38.084645 01001000 01100000
-93.750194 42.052257 10001011 11000101
-82.404073 48.496435 11001111 11110101
-90.131554 29.383787 10010010 10000110
-112.334937 25.952804 00110000 00001010
-116.041708 44.34727 00101100 01011000
-107.731166 44.365688 01001100 01110000
-78.68764 42.399226 11011011 11100111
-79.416245 38.225161 11001000 11100000
-102.957905 26.718262 01100000 00101000
-78.282897 41.881197 11011011 11100111
-81.501437 37.994929 11001000 11100000
-85.092807 45.673757 10111101 11011011
-84.1054 34.775614 10110110 10011110
-110.216273 47.346658 01001111 01110101
-107.712998 28.355773 01000001 00100001
-117.699458 26.386635 00100000 00001000
-108.11277 42.113953 01001011 01100101
-98.735469 38.742683 01111001 01101011
-85.89272 47.908643 10111111 11011111
-117.434146 47.194991 00101110 01011100
-77.200088 44.97458 11011101 11110011
-107.669332 37.796841 01001000 01100000
-112.49007 27.859728 00110001 00001011
-73.983517 31.218051 11100011 10101101
-120.394556 26.442149 00010000 00000010
-113.516089 38.655183 00111001 01001011
-109.24578 45.9038 01001110 01110100
-99.204703 38.339554 01111000 01101010
-89.467634 30.589909 10100011 10001101
-124.140978 26.14998 00000000 00000000
-94.182906 40.390277 10001010 11000100
-95.97034 37.561266 10001000 11000000
-74.410948 32.122497 11100100 10111000
-117.661545 45.518117 00101101 01011001
-78.418546 33.281208 11010101 10110011
-75.558596 35.778693 11010111 10110111
-85.544045 36.509136 10110111 10011111
-104.383171 37.972812 01011000 01100010
-71.666655 31.628567 11110100 10111010
-124.651246 40.506794 00001010 01000100
-103.857005 28.006665 01010001 00100011
-111.835719 35.36522 00110110 00011110
-96.456548 33.175714 10000101 10010001
-111.14745 26.638829 00110000 00001010
-70.383382 30.48282 11110011 10101111
-124.166073 27.471745 00000001 00000001
-78.31524 32.305888 11010100 10110010
-106.281137 47.015263 01011110 01110110
-87.5223 39.897854 10101001 11001001
-123.378771 40.273981 00001010 01000100
-109.652301 42.820622 01001011 01100101
-76.012942 34.207468 11010101 10110011
-121.76944 40.997743 00001010 01000100
-98.194419 29.894699 01110010 00101110
-105.503139 28.073092 01010001 00100011
-90.571302 29.501319 10010010 10000110
-73.183623 34.37783 11100110 10111100
-112.193126 32.616973 00110100 00011010
-109.304918 37.811797 01001000 01100000
-99.35805 42.327639 01111011 01101111
-118.218642 30.247365 00010011 00000111
-124.452672 33.204173 00000101 00010001
-89.87933 25.959205 10010000 10000010
-105.219659 48.256325 01011111 01110111
-116.43754 36.313614 00100111 00011101
-100.837876 34.704051 01100110 00111100
-109.181507 26.307678 01000000 00100000
-102.672719 44.170149 01101100 01111000
-69.402217 41.384567 11111010 11101110
-99.312383 42.883399 01111011 01101111
-83.920543 45.548332 10111101 11011011
-78.938906 30.264284 11000011 10100101
-94.933361 34.357011 10000110 10010100
-118.269357 34.688587 00010110 00010110
-87.711406 41.99026 10101011 11001101
-92.269069 27.400183 10010001 10000011
-74.306337 39.416587 11101001 11101001
-110.123112 38.473948 01001000 01100000
-112.534704 41.425118 00111010 01001110
-70.993465 30.012787 11110010 10101110
-100.91612 38.469876 01101000 01101000
-98.503752 30.418268 01110011 00101111
-69.794677 39.26711 11111001 11101011
-103.791461 35.088285 01010110 00110110
-106.773615 42.354103 01011011 01100111
-98.123371 31.542814 01110100 00111010
-109.916237 44.830945 01001101 01110001
-88.927112 34.894121 10100110 10011100
-76.481099 39.039875 11011001 11100011
-87.722995 46.267472 10101110 11011100
-112.765054 27.4695 00110001 00001011
-92.086493 33.98456 10010101 10010011
-96.913442 42.372086 01111011 01101111
-100.297222 27.045792 01100000 00101000
-90.310032 37.20958 10011000 11000010
-120.384196 37.42989 00011000 01000010
-115.1318 36.368061 00100111 00011101
-80.417565 42.64326 11001011 11100101
-116.694255 28.509008 00100001 00001001
-102.267096 39.61154 01101001 01101001
-83.533716 26.459714 10110000 10001010
-100.70139 40.35824 01101010 01101100
-69.604693 38.836 11111001 11101011
-85.197173 45.639707 10111101 11011011
-122.342245 39.403043 00001001 01000001
-92.781926 34.102824 10010101 10010011
-100.85894 45.437666 01101101 01111001
-81.475932 34.542991 11000110 10110100
-85.399209 44.247012 10111100 11011010
-92.403805 29.36699 10010010 10000110
-89.507613 28.57557 10100001 10001001
-78.948889 30.208024 11000011 10100101
-117.218575 30.222293 00100011 00001101
-105.249469 48.639755 01011111 01110111
-102.473703 28.362484 01100001 00101001
-91.673129 25.955645 10010000 10000010
-117.355033 46.730865 00101110 01011100
-88.043134 43.204503 10101100 11011000
-115.916971 28.65731 00100010 00001100
-76.493929 42.553552 11011011 11100111
-122.655346 34.328455 00000110 00010100
-114.490693 25.854676 00100000 00001000
-84.81689 36.644822 10110111 10011111
-84.857818 42.985007 10111100 11011010
-84.018629 29.34271 10110010 10001110
-85.863072 45.030522 10111101 11011011
-78.345036 27.93532 11010001 10100011
-117.533401 31.554525 00100100 00011000
-105.399206 29.097334 01010010 00100110
-124.857175 33.117661 00000101 00010001
-114.528789 44.022323 00101100 01011000
-85.946667 40.954472 10111010 11001110
-118.575679 30.799774 00010011 00000111
-97.123004 43.518521 01111100 01111010
-76.702367 43.065977 11011100 11110010
-114.428103 40.964296 00101010 01001100
-73.69028 48.66776 11101111 11111101
-121.499346 36.034046 00000111 00010101
-91.532828 33.513907 10010101 10010011
-86.215849 29.851278 10100010 10001100
-108.904769 27.310597 01000001 00100001
-100.241848 47.87913 01101111 01111101
-88.417491 48.501884 10101111 11011101
-106.248706 28.135895 01010001 00100011
-86.409236 45.329224 10101101 11011001
-109.835135 27.28035 01000001 00100001
-112.041588 46.967868 00111110 01011110
-124.637549 38.071571 00001000 01000000
-82.242352 43.097533 11001100 11110000
-112.474877 33.147775 00110101 00011011
-79.482662 40.274027 11001010 11100100
-70.948518 43.516947 11111100 11111010
-83.304658 37.978248 10111000 11001010
-122.100538 37.256526 00001000 01000000
-97.212347 43.621973 01111100 01111010
-114.711968 33.556547 00100101 00011001
-105.714684 45.90615 01011110 01110110
-102.98338 39.294175 01101001 01101001
-107.094805 44.860825 01011101 01110011
-91.358076 45.989732 10011110 11010110
-110.910941 27.301708 00110001 00001011
-77.563474 38.129669 11011000 11100010
-79.207222 47.99798 11001111 11110101
-92.221655 45.038153 10011101 11010011
-100.475775 28.861941 01100010 00101100
-79.593894 28.097028 11000001 10100001
-100.608528 28.010112 01100001 00101001
-71.785297 36.09089 11110111 10111111
-89.647841 35.97728 10010111 10010111
-104.616678 34.236234 01010101 00110011
-88.515898 39.510972 10101001 11001001
-73.617044 42.732429 11101011 11101101
-122.837086 42.595805 00001011 01000101
-101.406265 46.300795 01101110 01111100
-68.745242 31.655099 11110100 10111010
-112.213691 46.349386 00111110 01011110
-121.202761 40.683853 00011010 01000110
-107.654856 40.312469 01001010 01100100
-100.416204 29.65977 01100010 00101100
-115.561886 39.421297 00101001 01001001
-123.457965 39.18559 00001001 01000001
-68.457666 31.863281 11110100 10111010
-108.481999 45.860302 01001110 01110100
-85.996465 39.08104 10101001 11001001
-113.794811 27.872872 00110001 00001011
-120.831658 45.268577 00011101 01010011
-88.106662 43.342703 10101100 11011000
-76.640738 28.687788 11010010 10100110
-105.874595 38.385233 01011000 01100010
-87.6792 30.033232 10100011 10001101
-86.283026 47.306968 10101111 11011101
-122.326145 43.369865 00001100 01010000
-92.313792 43.461883 10011100 11010010
-90.104775 41.994025 10011011 11000111
-102.697885 48.176482 01101111 01111101
-96.24798 25.993985 10000000 10000000
-119.927288 29.758735 00010010 00000110
-106.077287 29.727431 01010010 00100110
-93.360302 44.330151 10001100 11010000
-114.886743 41.761358 00101011 01001101
-112.4301 43.442008 00111100 01011010
-87.97631 48.62874 10101111 11011101
-116.303702 42.234051 00101011 01001101
-74.78687 47.588986 11101111 11111101
-77.484073 40.792812 11011010 11100110
-91.466071 37.636477 10011000 11000010
-102.357299 43.174638 01101100 01111000
-99.465025 41.766485 01111011 01101111
-98.59129 47.256826 01111111 01111111
-83.426339 29.506811 10110010 10001110
-86.107241 33.973745 10100101 10011001
-104.07789 28.772295 01010010 00100110
-99.492897 25.798563 01110000 00101010
-102.568981 48.458782 01101111 01111101
-68.639208 39.645733 11111001 11101011
-103.017514 37.953058 01101000 01101000
-81.467701 44.897409 11001101 11110001
-73.351105 43.195943 11101100 11111000
-117.139791 44.377929 00101101 01011001
-103.805523 33.342298 01010101 00110011
-108.287885 40.132152 01001010 01100100
-85.546867 34.820376 10110110 10011110
-120.457464 31.219797 00010011 00000111
-90.096075 35.559354 10010110 10010110
-107.68548 33.231785 01000101 00110001
-122.494577 31.967707 00000100 00010000
-77.971553 37.35424 11011000 11100010
-75.214332 32.175941 11100100 10111000
-81.66673 44.439419 11001101 11110001
-68.842103 40.239333 11111010 11101110
-71.915301 27.45132 11100001 10101001
-108.996322 36.658262 01000111 00110101
-99.313694 34.502038 01110110 00111110
-71.107457 28.051864 11110001 10101011
-103.518419 34.756828 01100110 00111100
-105.164515 27.728537 01010001 00100011
-107.155453 44.647538 01011101 01110011
-112.306481 27.791602 00110001 00001011
-82.05508 42.256025 11001011 11100101
